qid,passage,original,anon_sent,tech
"44","In addition, According to N Hakamies, “Although material and human resources are significant constraints on agencies, the main challenge is to tackle ideological, managerial and policy barriers, and those related to donor influence.” Finding funding for family planning services continues to prove difficult for NGOs, and as a result they often do not exist or cannot meet the need levels of their constituencies. Reproductive Health funding problems underscore a larger issue with a reliance on NGO services, as can often be seen in IDP situations. The ability to provide services is often reliant on funding from outside sources and its continuation is based not on the needs of those being served, but on what they can find funding to provide. Often an organization's decision to cease operations in a country has more to do with a lack of financial support than the successful completion of their programming. There are certainly other issues with over reliance on NGO services, such as the fact that their services often don't solve the underlying infrastructure issues that will reemerge once the NGO presence is reduced. Many NGOs do not remain in-country for the post-conflict period. In effect, services are provided and once the initial emergency is over, the NGOs are gone and those still displaced must find a health provider somewhere else. This affects a country's capacity to rebuild post-conflict as well as their ability to provide services while the rebuilding effort is underway. Another issue is the added levels of coordination that occur when working with multiple aid groups to ensure healthcare service coverage. NGO involvement in IDP aid is a fact of life, however. The critical point is that the Ministry of Health must coordinate among those organizations. Much of the focus on healthcare provision during emergency and conflict situations revolves around the use of Mobile Health Units (MHUs). Mobile Health Units are, at their most basic, mobile service units that usually provide specific forms of both preventative and curative care. They are generally expensive, however, and the fact that they only provide services intermittently tends to affect when they are appropriate for use. According to Stephane du Mortier and Rudi Coninx, “In situations of armed conflict, the range of PHC services that can be provided is severely restricted. This means that, in any given situation, it is essential to select the priority services among the spectrum of PHC services”. MHUs are limited in the number of services they can provide and the frequency at which they are available to any one community. These considerations must be kept in mind when formulating a plan as to how to use MHUs in any conflict or emergency setting. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> In this case, the rebel forces refused to allow access to the Ministry of Health in the country to citizens in areas they held.","Du Mortier and Coninx describe their use of MHUs with the International Committee of the Red Cross during the conflict in Columbia in 2005.","Du Mortier and Coninx classify their incorporate of MHUs with the International Committee of the Red Cross During the rivalry in Columbia in 2005.","mutX"
"149","The government has justified the regulation of Monson’s personal production and consumption using a “supply and demand” theory that such personal use can affect the market price of marijuana in the aggregate. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> In addition, this interpretation does not comport with the idea that regulation of the “exclusively internal commerce of a State“ represents what Congress cannot regulate, since it was expressly not enumerated. Accordingly, I would hold that federal regulation of Monson’s personal use and production of medical marijuana in compliance with state law is prohibited by the Constitution, since it represents an attempt to regulate a completely intra-state, non-commercial activity that has no meaningful affect on interstate commerce. Respondent Raich, however, received her marijuana from a third-party, and therefore engaged in commercial activity, so regulation of her conduct cannot be disposed of on grounds that the casual links between the enumerated power and the regulation are too attenuated. Instead, this case presents the more difficult issue of how the Court should balance the “distribution of power [that is] fundamental to our federalist system of government,” when the Commerce Clause challenge involves the competing judicial values of giving deference to the legislative decisions of Congress, with the state’s function of  “serv[ing] as a laboratory; [to] try novel social and economic experiments without risk to the rest of the country.” In an attempt to balance these considerations, I would have held that in situations, like the one presented by the facts of Raich’s case, where Congress is attempting to regulate a local activity, pursuant to a broad regulatory scheme, with no prima facie connection to interstate commerce, and the federal regulation conflicts with a state law that falls within the traditional scope of its general police power, then the determination of Congress’ authority to enact the regulation should not be given the deference of a rational basis review. Instead, it should give rise to a rebuttable presumption that the regulation is not rationally related to the power of regulating interstate commerce. This presumption could be refuted by the factors already established in Morrison and Lopez, by showing express congressional findings concerning the substantial effects of the regulated activity on interstate commerce, as well as indicating an express jurisdictional element that narrowly limits the application of the statute. However, if the statute represented an attempt by Congress to further a compelling national interest, and the government could show that the underlying purpose of the statute would be significantly undermined without the ability to regulate the local activity free from state regulation, then the constitutionality of the statute could be upheld, even without congressional findings or jurisdictional limits.","I do not understand how the majority can logically distinguish this “supply and demand theory” as any less attenuated than the “cost of crime” or “national productivity” arguments that were rejected in Lopez, when the practical affect of accepting this test is abandonment of the idea that there is an “outer limit” on Congress’ Commerce Clause power, if it can regulate the production and possession of a commodity that has never entered, nor ever will enter interstate commerce.","I do not understand how the majority can logically idstniguish this 'supply and demand theory' as anyl ess attenuated than the 'outlay of crime' o r'national productivity' arguments that were rejected in Lopez, when the practical affect of accepting this try is abandonment of the idea that region is an 'outer limit' on Congress' Commerce Clause power, if it can regulate the production and possession of a commodity that has never entered, nor ever will enter interstate commerce.","AStar"
"20","As IDP camps tend to be located in remote, marginal areas, there typically is no easy supply route to avoid stock outs. In Iraq in 2006, for example, only about 30% of clinics reported an adequate supply of essential drugs. A second major issue, and one that has long-term post-conflict implications, is of doctor migration out of the country, also known as the “Brain Drain”. While the “Brain Drain” traditionally occurs due to a lesser-developed country not being able to offer competitive compensation to in-country doctors, conflict can have the same effect. In fact, physician migration has occurred time and time again during unrest in a country. Over half of Cuba's doctors left during the revolution. Zimbabwe lost over two thirds of their physicians in the 1990s. Even in Iraq today, it is estimated that over half of the doctors have left the country, many for Jordan. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> In 2006 alone, 28% of specialists left Baghdad. Other areas of Iraq saw numerous Baghdad doctors relocate to their areas rather than leave the country entirely. Nevertheless, the proportion of doctors who migrated in Iraq is startling. In addition, around 75% of the doctors who have left are expected not to return to Iraq after the conflict is over. In Iraq, the reasons for doctor migration vary, including about 13% who stated they left due to threats of kidnapping or murder. Complicating the “Brain Drain” problem even further is the traditional issue of physician compensation. Even for providers who don't suffer from threats of violence against them, in a place like Iraq today they cannot afford to hold on to the existing doctors. As stated by Agron Ferati in the Brookings Institute's 2009 panel, “Monitoring Health Services among Iraqi Refugees and Internally Displaced Persons,” “Why should I remain in Baghdad as a surgeon, when I can go in Dubai and earn $5,000 salary, while in Baghdad I risk my own life, my family’s lives, for $600 or $700?” This problem only surface in Iraq after the war. This issue is not constrained to only doctors, either. In 2006 it was found that only about 30% of all healthcare staff positions were filled. In a place like Iraq, the “Brain Drain” is a very real issue that threatens long-term health systems stability. Increasing the number of doctors trained in their medical schools is one way to counteract the problem, but in the shorter term, doctor shortage will further contribute to the access issues already facing the country. While everyone in Iraq, even IDPs, have access to healthcare, the quality is sure to suffer, particularly in Baghdad. Another important aspect of health systems in conflict situations is the question of where the financial resources will originate from. Government support in extended conflicts typically wanes, increasing reliance on NGO and bilateral agency funding for health-sector funding.","It should be noted that the doctor loss was most severe in Baghdad, likely due to the intensity of the conflict there.","It should be noted that the loss of doctors was the most serious in Baghdad, probably due to the intensity of the conflict there.","BT"
"146","Increasing antagonism with the US meant that Cuba was also looking to foil American plans abroad, and the Angolan crisis was a perfect opportunity for Cuba to use its strong military to embarrass the US. Fidel Castro initially acted unilaterally and without notifying the Soviets on his intentions in Angola. However, Cuban and Soviet collaboration soon led to highly effective assistance to the MPLA, with the Cubans provided tens of thousands of well-trained soldiers and the Soviets technical expertise and military equipment, particularly in the field of heavy artillery and tanks, which were previously absent in the Angolan theater. By the 1980s, a Soviet investment of $5 billion in military hardware helped lead the MPLA to victory in the war. Weapons provided included “T-34 and T-54 tanks, 100mm guns, 120mm multiple rocket launchers, amphibious vehicles, helicopters equipped with 20mm cannon and air-to-ground rockets” as well as MIG-17 and MIG-21 fighter jets. Soviet and Cuban presence continued until the late 80s when global political changes and the end of the Cold War took away many of the incentives of remaining in Angola. Without Cuban and Soviet backing, the MPLA would have never been able to defeat its opponents, who also had the support of foreign superpowers. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> American oil companies were well established there since the discovery of oil in the 1950s, and in order to protect these interests, the US supported the Portuguese during the liberation war. By the time the Portugal was preparing to leave the continent in 1974, the threat of communist takeover by the MPLA with Cuban and Soviet support influenced the US to fund alternative groups to prevent a communist victory. A Soviet friendly nation in southern Africa might tip the balance of power in favor of the communists and set off more leftist revolutions in the region. Since 1961, the US had been supporting Holden Roberto with a modest stipend of $10,000 a year. In the light of the new situation, this sum was increased to $300,000 in 1975, and throughout that year $35 million was spent on arming the FNLA through airbases in friendly Zaire. US involvement was relatively clandestine at this stage, mostly involving the CIA and indirect aid to the FNLA through Zaire. An American population weary from Vietnam was not willing to enter another bloody Third World conflict so far from home. Despite the official backing of the FNLA, many within the US establishment did not agree with the decision to support the FNLA. Two important US officials in Luanda, Robert W. Hultslander, the CIA station chief, and Tom Killoran, the American Consul General, agreed that the MPLA were the most qualified of the groups to govern and sought peaceful relations with Washington. Hultslander further stated that its leaders “were more effective, better educated, better trained, and better motivated”; by contrast the FNLA “was led by corrupt, unprincipled men who represented the very worst of radical black African racism.”","The initial reasons for United States intervention in Angola were primarily economic.","The initial reasons for the U.S. intervention in Angola were mainly economic.","BT"
"77","Briefly, the other options you have to further limit what people see about you include disabling Connections Browse, which keeps your connections private, Profile Views, which limits what information people who you have browsed can see, opting out of the Service Provider Directory and the LinkedIn Partner Advertising directory. These settings will limit the number of eyes on your profile but will not limit your ability to use your LinkedIn profile as a resume. You can also use this page to control the unsolicited e-mail you receive by modifying the settings on the Receiving Messages settings page as well as the InMails page. MyID Can Protect Your Privacy Settings and Alert You If They ChangeThe MyID suite of privacy applications can protect your privacy as it monitors dozens of social network privacy settings. MyID can change privacy settings to a more secure setting and help you understand what information is private and public. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> If you’d like to make your whole blog private, head to Settings and then Privacy and check the radio button for I would like my blog to be visible only to users I choose. Click Save Changes, and then you can start to add users by their Wordpress username. The Word Press Blog Visibility settings have three options which will allow you to set the level of privacy of your blog. The default setting allows everyone, including search engines, to access your blog. The second, more limited, setting blocks search engines from crawling your blog, requiring users to type in your URL directly. Depending on how much personal information you post on your blog, you can choose to change privacy settings to a high level in order to protect your privacy. If you’d like to make a particular post private so that only you or a bunch of people you choose can see it, all you need to do is head to the post editor and click on Visibility in the Publish pane. You can choose to make the post either password protected, in which case you’ll need to supply a password, or private, which means only that you or other blog contributors will be able to see it. Click OK and that will be made effective immediately. By changing privacy settings of your WordPress blog, you can protect your privacy and be sure that only approved users read your content. Maximize Privacy on Social Networks with MyID Any time you post private information to WordPress, MyID will find it and alert you, allowing you to remove it before any search engine has a chance to archive it, maximizing your privacy on social networks. Without resorting to Hollywood stereotypes about hackers, let’s take a look at the demographics, psychology, and goals of your average online computer hacker. The vast majority of hackers are from China or Russia. These nations serve as a breeding ground for criminals of every kind, not just computer criminals.","Protect personal information with the MyID identity theft monitoring solution.","Protect personal info with the MyID identity theft monitoring solution.","mutX"
"64","Those two amendments would be the most crucial in preventing lack of maintenance by homeowners, but as a last resort for extreme circumstances, the preservation Commission or the Department of Inspections should be given the power to seek judicial enforcement against any homeowner found to be demolishing their home through neglect. If these amendments were passed by the Metro Counsel, then the Preservation Commission and the Department of Inspections would have a lot more power to take preemptive action against demolition by neglect. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> For this problem to be fully confronted, the government along with Preservation groups should work together to make funds available for homeowners who are legitimately having difficulty in maintaining the integrity of their historical property. This system of government enforcement with outside organizations working with and providing resources for the average homeowner, and penalizing those who are purposefully trying to circumvent the law, will not only avoid costly and embarrassing court battles, but will better ensure that the cultural and historical properties that define Louisville will be preserved for future generations of citizens. I dissent from the majority’s holding that a rational-basis review of Congress’ decision to regulate a “class of activities” that includes local, non-commercial behavior is proper, as long as the regulation is part of a “general regulatory statute [that] bears a substantial relation to commerce,” while also refusing to hear as-applied challenges that would “excise individual applications of a concededly valid statutory scheme,” which effectively abolishes any meaningful limitations on Congress’ power to regulate under the Commerce Clause. Instead, I would have held the CSA unconstitutional as applied to respondent Monson who cultivated and consumed medical marijuana which never entered the stream of commerce, is not a regulation that is rationally related to Congress’ Commerce Clause power, while remanding the question of the constitutionality of regulating Raich’s medical marijuana use, in accordance with the stricter scrutiny test described in this opinion. The respondents have argued that application of the CSA to their “intrastate, noncommercial cultivation and possession of cannabis for personal medical purposes as recommended by a patient's physician pursuant to valid California state law” is an unconstitutional exercise of Congress’ power under the Commerce Clause. I agree with Justice Scalia in his concurrence, that a necessary and proper clause analysis is necessary because the respondents are challenging the authority of Congress’ implied power to regulate this class of activities, but disagree with his conclusion that regulations of respondent’s activities were “appropriate means of achieving the legitimate end of eradicating Schedule I substances from interstate commerce.” In conducting the necessary and proper clause analysis, I think it is necessary to differentiate between the respondents, since Raich obtained her marijuana from a third-party, while Monson’s production and consumption was entirely personal.","Of course we could not rely on the government alone to prevent this problem, much of what underlines the issue is economic difficulties and public perception that Preservation groups only seek to hinder development.","Of course, we cannot trust the government alone to avoid this problem, many of what the problem emphasizes are economic difficulties and the public perception that conservation groups are just trying to prevent development.","BT"
"q_5","The possibility that Internet users will be able to hide what they do from the ubiquitous ad tracking is a big win for consumers concerned with Internet privacy. Lawmakers have heralded the bill as a companion to the “Do Not Call” registry that was introduced in 2003. The registry prevented telemarketers from calling consumers who chose to opt-out from telemarketing calls. The “Do Not Track” bill would similarly force advertisers to respect the privacy of users who do not want their online activity to be subject to ad network tracking for marketing purposes. According to Rep. Jackie Speier (D-Hillsborough), the bill’s sponsor, “Consumers have a right to determine what if any of their information is shared with big corporations, and the federal government must have the authority and tools to enforce reasonable protections.” The “Do Not Track” bill would give the FTC eighteen months to come up with a set of enforceable privacy protection regulations for online ad network tracking. Some, like Ryan Calo, director of Stanford Law School’s Consumer Privacy Project, believe the bill does not go far enough. For one, he said, the bill only applied to those who chose to opt-out from ad network tracking. It does not affect those who do not know that they can or do not know how. This objection is partially overruled as the newest edition of the Firefox browser makes prevalent a “Do Not Track Me” option said to be the response to this and other similar bills. FBI Wants to Expand Internet WiretappingThe FBI, in an effort to keep up with the changing landscape of the Internet, is calling for a push to expand its capabilities in intercepting online evidence. Citing advances in “webmail, social networking sites, and peer-to-peer services,” the FBI’s general counsel, Valerie Caproni, addressed Congress to discuss the increasing difficulty in tracing electronic communication in ongoing cases. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> As the gap between authority and capability widens, the government is increasingly unable to collect valuable evidence in cases ranging from child exploitation and pornography to organized crime and drug trafficking to terrorism and espionage.” The FBI argues that the current limitations on their wiretapping are antiquated. Many statutes have not been updated since the early nineties. Some of the statutes allow the FBI to read e-mail stored on a local server that is more than six months old. These laws date back to a time when users fetched their mail from a single computer almost daily, so e-mail that had been on a server for six months was considered abandoned. In the age of webmail, users keep most of their emails forever.","According to Ms. Caproni, “In the ever-changing world of modern communications technologies, however, the FBI and other government agencies are facing a potentially widening gap between our legal authority to intercept electronic communications pursuant to court order and our practical ability to actually intercept those communications.","In addition, the international organizations that responded by providing services kept a low profile.","atten"
"49","Students in a Kumon class will not run into a similar problem since these students are only allowed to advance once they meet a requirement of accuracy. There is also Kumon for preschoolers and kindergarten age students. The main website does not seem necessarily tailored to only Asian students (as is the case for juku schools). There are 6 listed Junior Kumon schools throughout Torrance and Gardena (including the surrounding areas of Carson, Rolling Hills, Manhattan and Redondo Beaches, Palos Verdes, and San Pedro) to which Gardena and Torrance residents can easily drive or bus. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> In Japan, Juku is primarily an after school learning system that generally begins after the regular school day and ends at about dinner time nearly every weekday and at times during one or both weekend days depending on the juku campus. Japanese school systems consist of a grade 1-6 elementary system, 1-3 for junior high, and 1-3 for high school. Following junior high school education a Japanese student will take an entrance exam through which the scores determine the quality level of high school education and prestige of high school that the student will be accepted to attend. Upon completion of high school the student will take another entrance exam to enter a prestigious university such as the prized Tokyo University. The high school acceptance gives opportunities to be better prepared for the college entrance. And graduation from a prestigious university affects the access to jobs and other resources as well as social factors. In some more recent cases there are even competitive preschools and kindergartens that prepare students for competition of standardized testing and study habits. Because the Japanese school system in Japan is primarily driven by the ability to score high on standardized tests, students who come from Japan as well as their parents and family members who may move to an area like Torrance or Gardena, California, already have a background in how to accurately achieve high scores on standardized exams. This is one much overlooked reason as to why even international students are able to achieve high SAT scores and later MCAT, GRE, etc. scores. An article about juku in the US showed results that the amount of homework given to students who attended juku was completed about 80-90% compared to the amount of take home assignments that the student was required to turn in. When comparing American juku students (studying in US juku) with Japanese juku students (studying in Japanese juku) it was shown that overall the students in Japan still scored higher possibly due to attitudes of learning, social pressures, and academic relevance and realities of juku in US versus juku in Japan. Gains were greater for public school students who attended extracurricular activities. The schools from high SES background areas tended to show higher standardized testing scores. The author insists that improving scores in schools should start at home in which the parent or caretaker should provide opportunity, interest, and help for a student such as encouragement and strong involvement in academic performance.","There are 5 Kumon schools for older children.","There are 5 Kumon schools for older children.","Orig"
"188","Briefly, the other options you have to further limit what people see about you include disabling Connections Browse, which keeps your connections private, Profile Views, which limits what information people who you have browsed can see, opting out of the Service Provider Directory and the LinkedIn Partner Advertising directory. These settings will limit the number of eyes on your profile but will not limit your ability to use your LinkedIn profile as a resume. You can also use this page to control the unsolicited e-mail you receive by modifying the settings on the Receiving Messages settings page as well as the InMails page. MyID Can Protect Your Privacy Settings and Alert You If They ChangeThe MyID suite of privacy applications can protect your privacy as it monitors dozens of social network privacy settings. MyID can change privacy settings to a more secure setting and help you understand what information is private and public. Protect personal information with the MyID identity theft monitoring solution. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Click Save Changes, and then you can start to add users by their Wordpress username. The Word Press Blog Visibility settings have three options which will allow you to set the level of privacy of your blog. The default setting allows everyone, including search engines, to access your blog. The second, more limited, setting blocks search engines from crawling your blog, requiring users to type in your URL directly. Depending on how much personal information you post on your blog, you can choose to change privacy settings to a high level in order to protect your privacy. If you’d like to make a particular post private so that only you or a bunch of people you choose can see it, all you need to do is head to the post editor and click on Visibility in the Publish pane. You can choose to make the post either password protected, in which case you’ll need to supply a password, or private, which means only that you or other blog contributors will be able to see it. Click OK and that will be made effective immediately. By changing privacy settings of your WordPress blog, you can protect your privacy and be sure that only approved users read your content. Maximize Privacy on Social Networks with MyID Any time you post private information to WordPress, MyID will find it and alert you, allowing you to remove it before any search engine has a chance to archive it, maximizing your privacy on social networks. Without resorting to Hollywood stereotypes about hackers, let’s take a look at the demographics, psychology, and goals of your average online computer hacker. The vast majority of hackers are from China or Russia. These nations serve as a breeding ground for criminals of every kind, not just computer criminals.","If you’d like to make your whole blog private, head to Settings and then Privacy and check the radio button for I would like my blog to be visible only to users I choose.","If you’d like to make you nature blog private, head to Settings and then Privacy and ascertain the radio button for I must kind my blog to be visible only to users I choose.","mutX"
"169","In comparison to American schools such as those in Los Angeles County, there are schools such as preparatory and some private schools that prepare students early on for SAT. And even fewer public school systems allow for classes and tutoring that is written into the curriculum or that is at the very least affordable for working students of parents. SAT courses such as Kaplan and Princeton Review, while popular, are extremely expensive such as $1000 for average cheap courses. These classes tend to be attended by sophomores, juniors, and senior high school students. In comparison to the juku cram schools in Japan which would be attended from about age 13 during junior high or even earlier and throughout high school. Another important comparison is knowledge of and access to such schools. In Japan, the juku crams schools are expensive. Some schools rate very high for acceptance to top high schools and top universities, while others rate lower on the scale. But nonetheless, the students learn from such schools about standardized testing very early on. The affordability of these schools varies. And juku schools are more of a common knowledge for parents. If a parent in Japan cannot afford or decides not to send their own child to juku, it is likely that the student will know at least some other friends that do attend juku or will at least be given other means through knowledge of the parent to pass exams early on (such as providing textbooks or a private tutor). Juku allows for dangerous competition between students in the face of college entrance. Rohlen mentions that such competition even leads to student suicide at times. Juku systems began as a means of increasing public school comparisons to private schools. The study of juku school systems was recently studied by scholars in the 1980s. The juku focus is on primarily one subject area such as history, language, or science, or math. The school will not focus on details or information such as what may be found outside of the entrance exams. Juku also differ from one another, such as the shingaku juku, where the top students attend, or hoshu juku where the students use the juku school to catch up if they are behind other students in their regular school evaluations. In LA County prep schools for American standardized testing are not always readily available. They are extremely expensive, and the student may even begin to start the classes much too late to learn the material for an exam such as the SAT adequately. In many instances students and parents alike are not taught much about how important the SAT exam is. Because the school system is different in Japan in comparison to the USA, the standardized testing preparation follows that pattern. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> In the US a student can do poorly on the SAT and still go to a community college and then graduate from a UC and possibly be admitted to a prestigious university afterwards for a Masters or PhD degree.","In Japan standardized testing really drives many important aspects of a student’s future.","In Japan standardized testing really drives all important aspects of a nation ’s future.","LSB"
"129","Briefly, the other options you have to further limit what people see about you include disabling Connections Browse, which keeps your connections private, Profile Views, which limits what information people who you have browsed can see, opting out of the Service Provider Directory and the LinkedIn Partner Advertising directory. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> You can also use this page to control the unsolicited e-mail you receive by modifying the settings on the Receiving Messages settings page as well as the InMails page. MyID Can Protect Your Privacy Settings and Alert You If They ChangeThe MyID suite of privacy applications can protect your privacy as it monitors dozens of social network privacy settings. MyID can change privacy settings to a more secure setting and help you understand what information is private and public. Protect personal information with the MyID identity theft monitoring solution. If you’d like to make your whole blog private, head to Settings and then Privacy and check the radio button for I would like my blog to be visible only to users I choose. Click Save Changes, and then you can start to add users by their Wordpress username. The Word Press Blog Visibility settings have three options which will allow you to set the level of privacy of your blog. The default setting allows everyone, including search engines, to access your blog. The second, more limited, setting blocks search engines from crawling your blog, requiring users to type in your URL directly. Depending on how much personal information you post on your blog, you can choose to change privacy settings to a high level in order to protect your privacy. If you’d like to make a particular post private so that only you or a bunch of people you choose can see it, all you need to do is head to the post editor and click on Visibility in the Publish pane. You can choose to make the post either password protected, in which case you’ll need to supply a password, or private, which means only that you or other blog contributors will be able to see it. Click OK and that will be made effective immediately. By changing privacy settings of your WordPress blog, you can protect your privacy and be sure that only approved users read your content. Maximize Privacy on Social Networks with MyID Any time you post private information to WordPress, MyID will find it and alert you, allowing you to remove it before any search engine has a chance to archive it, maximizing your privacy on social networks. Without resorting to Hollywood stereotypes about hackers, let’s take a look at the demographics, psychology, and goals of your average online computer hacker. The vast majority of hackers are from China or Russia. These nations serve as a breeding ground for criminals of every kind, not just computer criminals.","These settings will limit the number of eyes on your profile but will not limit your ability to use your LinkedIn profile as a resume.","These settings will limit the number of eyes on you profile but will not limit your ability to use your LinkedIn profile as a resume.","mutX"
"41","In addition, According to N Hakamies, “Although material and human resources are significant constraints on agencies, the main challenge is to tackle ideological, managerial and policy barriers, and those related to donor influence.” Finding funding for family planning services continues to prove difficult for NGOs, and as a result they often do not exist or cannot meet the need levels of their constituencies. Reproductive Health funding problems underscore a larger issue with a reliance on NGO services, as can often be seen in IDP situations. The ability to provide services is often reliant on funding from outside sources and its continuation is based not on the needs of those being served, but on what they can find funding to provide. Often an organization's decision to cease operations in a country has more to do with a lack of financial support than the successful completion of their programming. There are certainly other issues with over reliance on NGO services, such as the fact that their services often don't solve the underlying infrastructure issues that will reemerge once the NGO presence is reduced. Many NGOs do not remain in-country for the post-conflict period. In effect, services are provided and once the initial emergency is over, the NGOs are gone and those still displaced must find a health provider somewhere else. This affects a country's capacity to rebuild post-conflict as well as their ability to provide services while the rebuilding effort is underway. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> NGO involvement in IDP aid is a fact of life, however. The critical point is that the Ministry of Health must coordinate among those organizations. Much of the focus on healthcare provision during emergency and conflict situations revolves around the use of Mobile Health Units (MHUs). Mobile Health Units are, at their most basic, mobile service units that usually provide specific forms of both preventative and curative care. They are generally expensive, however, and the fact that they only provide services intermittently tends to affect when they are appropriate for use. According to Stephane du Mortier and Rudi Coninx, “In situations of armed conflict, the range of PHC services that can be provided is severely restricted. This means that, in any given situation, it is essential to select the priority services among the spectrum of PHC services”. MHUs are limited in the number of services they can provide and the frequency at which they are available to any one community. These considerations must be kept in mind when formulating a plan as to how to use MHUs in any conflict or emergency setting. Du Mortier and Coninx describe their use of MHUs with the International Committee of the Red Cross during the conflict in Columbia in 2005. In this case, the rebel forces refused to allow access to the Ministry of Health in the country to citizens in areas they held.","Another issue is the added levels of coordination that occur when working with multiple aid groups to ensure healthcare service coverage.","Another concern is - added levels of coordination that occur when working with multiple aid groups to ensure full service coverage.","LSB"
"q_1","My question dealt with the fact that it takes a certain amount of time for a bone that has a fracture to heal. I stated that the body needs a specific amount of time to transfer calcium from locations in the body to the fracture. I also mentioned that the cells that build up the various tissues found within the bone have to grow and divide and repeat this process until the fracture was knitted. I was concerned because this took time and that it was an actual physical process – there are no shortcuts. Also, I did not understand how a broken bone could be considered not real. Barbara assured me that fractures could heal “instantaneously” and that the body was not limited by time or resources since God was perfect and that matter was not real. I wanted to know how the healing process worked. Within the Church there are two types of healers. One is called a Practitioner and the other type is referred to as a Christian Science Nurse. A Practitioner begins by becoming a member of the Christian Science Church. A member does all the regular things, attends weekly Sunday services and on Wednesday nights twice a month, there are testimonials where members speak about their experiences with healing. Once the member feels that he or she is ready to become a Practitioner, they take a two week-long course. This course is referred to as “The Class.”  Once “The Class” is completed, the member is now a Practitioner and can begin to heal. The Practitioner uses the 700 page Science and Health text as well as Bible verses to discuss with people how to let God (aka “Mind” or “Spirit”) to be reflected accurately in their bodies. These Practitioners set their own fees and can provide services either in person or via the phone. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> The students spend their time analyzing texts, understanding how to explain health concerns from a religious standpoint and praying. “To the Christian Science healer, sickness is a dream from which the patient needs to be awakened. Disease should not appear real to the physician, since it is demonstrable that the way to cure the patient is to make disease unreal to him.” (Science and Health p. 417)Christian Science Nurses, do not go through training at all, and are merely members who help with physical concerns during the “Christian Science treatment.”  Barbara let me know that many nurses have taken “The Class” but they prefer to help other members in this path instead. All treatment that is provided by Christian Science Nurses is nonmedical in nature and includes care such as help with feeding, bathing, assistance with moving (i.e. from bed to chair).  Simple medical tasks such as blood pressure measuring, temperature taking, or applying cold/hot compresses are not included in their duties, and are expressly not permitted both by the church and by law.","This treatment is called “Christian Science treatment.”  Within “The Class”, the students do not learn about diseases or how to classify symptoms.","Please choose the Content fully preserved option","atten"
"207","The possibility that Internet users will be able to hide what they do from the ubiquitous ad tracking is a big win for consumers concerned with Internet privacy. Lawmakers have heralded the bill as a companion to the “Do Not Call” registry that was introduced in 2003. The registry prevented telemarketers from calling consumers who chose to opt-out from telemarketing calls. The “Do Not Track” bill would similarly force advertisers to respect the privacy of users who do not want their online activity to be subject to ad network tracking for marketing purposes. According to Rep. Jackie Speier (D-Hillsborough), the bill’s sponsor, “Consumers have a right to determine what if any of their information is shared with big corporations, and the federal government must have the authority and tools to enforce reasonable protections.” The “Do Not Track” bill would give the FTC eighteen months to come up with a set of enforceable privacy protection regulations for online ad network tracking. Some, like Ryan Calo, director of Stanford Law School’s Consumer Privacy Project, believe the bill does not go far enough. For one, he said, the bill only applied to those who chose to opt-out from ad network tracking. It does not affect those who do not know that they can or do not know how. This objection is partially overruled as the newest edition of the Firefox browser makes prevalent a “Do Not Track Me” option said to be the response to this and other similar bills. FBI Wants to Expand Internet WiretappingThe FBI, in an effort to keep up with the changing landscape of the Internet, is calling for a push to expand its capabilities in intercepting online evidence. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> According to Ms. Caproni, “In the ever-changing world of modern communications technologies, however, the FBI and other government agencies are facing a potentially widening gap between our legal authority to intercept electronic communications pursuant to court order and our practical ability to actually intercept those communications. As the gap between authority and capability widens, the government is increasingly unable to collect valuable evidence in cases ranging from child exploitation and pornography to organized crime and drug trafficking to terrorism and espionage.” The FBI argues that the current limitations on their wiretapping are antiquated. Many statutes have not been updated since the early nineties. Some of the statutes allow the FBI to read e-mail stored on a local server that is more than six months old. These laws date back to a time when users fetched their mail from a single computer almost daily, so e-mail that had been on a server for six months was considered abandoned. In the age of webmail, users keep most of their emails forever.","Citing advances in “webmail, social networking sites, and peer-to-peer services,” the FBI’s general counsel, Valerie Caproni, addressed Congress to discuss the increasing difficulty in tracing electronic communication in ongoing cases.","Citing advances in “webmail, social networking sites, and peer-to-peer services,” the FBI’s general counsel, Valerie Caproni, addressed Congress to discuss the increasing difficulty in tracing electronic coordination in extra cases.","mutX"
