passage,original,sentence1,sentence2,correct_choice
"Through the entire course of conflict in Angola from 1961 to 2002, foreign powers were involved in various degrees, from direct military assistance to monetary and diplomatic backing of one or more of the internal movements. Ranging from global superpowers like the United States and the Soviet Union to regional players like South Africa and Zaire, numerous countries entered the conflict and complicated the situation. American, Soviet, and Chinese involvement were rooted primarily in the existential Cold War struggle of ideologies and global geopolitics, with economic interests also playing a major role for the United States. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> The changing nature of world politics would alter the course of the war and most of the major powers would withdraw from Angola in the late-1980s and early-1990s. Chief among the regional powers involved in Angola were Zaire and South Africa. Both countries had strong motivations for their presence in Angola and importantly the means to affect the course of the war.","Regional powers were influenced by the superpowers and motivated by a number of other factors as well.","Regional powers were influenced by the superpowers and motivated by a number of other factors as well.","Regional powers were influenced by the superpowers , motivated through a range of other factors as well."
" <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> SAT courses such as Kaplan and Princeton Review, while popular, are extremely expensive such as $1000 for average cheap courses. These classes tend to be attended by sophomores, juniors, and senior high school students. In comparison to the juku cram schools in Japan which would be attended from about age 13 during junior high or even earlier and throughout high school.","And even fewer public school systems allow for classes and tutoring that is written into the curriculum or that is at the very least affordable for working students of parents.","yet even fewer public school teachers allow for classes and content that is written into the curriculum or that gets at the least least affordable for working children of parents.","And even fewer public school systems allow for classes and tutoring that is written into the curriculum or that is at the very least affordable for working students of parents."
"Early Soviet support of the MPLA included food and clothing as well as weapons and increased progressively during the course of the war from goods valued at $25,000 in 1961 to $220,000 in 1973. Large scale Soviet assistance did not come until 1975 though. In this year another foreign power would join the equation, with Cuba’s shipment of two shiploads of T-55 tanks and 500 military advisories. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Cuba was not simply a Soviet proxy but rather had its own agenda for being in Angola. As a Third World country with a colonial past and communist government, Cuba wanted to sustain the global conflict against the West and imperialism through spreading Marxist-Leninist revolution.","Though the Cubans and Soviets would work together closely in Angola, early actions were not coordinated as is widely assumed.","Though the Cubans / Soviets would work together early in Angola, early actions had not successful as is widely assumed.","Though the Cubans and Soviets would work together closely in Angola, early actions were not coordinated as is widely assumed."
"Many MPLA leaders would go on to be educated in Moscow. The USSR chose to support the MPLA over rival movements in Angola for a number of reasons. As a left-leaning Marxist movement that explicitly condemned the imperial powers, the MPLA followed the same basic ideological principles as the USSR. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> The MPLA was also not as focused on regional or ethnic issues, as the predominately Bakongo UPA based in northern Angola was. The USSR also practiced the policy of recognizing and supporting only one rebel movement within a conflict, a policy not shared by all of its peers. Early Soviet support of the MPLA included food and clothing as well as weapons and increased progressively during the course of the war from goods valued at $25,000 in 1961 to $220,000 in 1973.","The UPA/FNLA was more ambiguous on this issue, receiving support from the US and sometimes practicing anti-communist rhetoric.","The UPA/FNLA was more ambiguous on this issue, receiving support from the US and sometimes practicing anti-communist rhetoric.","The UPA/FNLA was often ambiguous on this point , receiving support outside the US and sometimes practicing anti- war rhetoric."
"In the business world the conventional dresser is the man or woman wearing a simple, traditionally styled suit in blue, gray or black with a white or pale pastel shirt, conservative tie and sensible shoes. On college campuses he or she is usually in a pair of chinos and a button down shirt, topped off by perhaps a “V” neck sweater and a pair of loafers. Conventional dressers tend to be “conventional” people– drab and sometimes boring, risk averse and lacking in confidence, they tend to be introverts who like to blend in with the crowd. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Their wrinkled, soiled, mismatched outfits, often including torn, frayed blue jeans and deliberately ripped T- shirts are usually topped off by unwashed, uncombed hair, unshaven faces and –on women-heavy, sloppily applied makeup. The “Grunge” look is the uniform of the “Anti-establishment,” and while those who sport this style tend to view themselves as free-thinkers who reject conventional norms, the look also screams of a poor self-image, immaturity, lack of motivation, and an “I don’t give a damn” attitude that others will assume-often correctly-carries over into every aspect of a person’s life-from job performance, to work ethic and personal relationships.","Sloppy dressers generally look as if they slept in the clothes they are wearing.","Sloppy dressers generally look as if they slept in the clothes they are wearing.","Sloppy dressers generally look as if they slept on the clothes they are wearing."
"In LA County prep schools for American standardized testing are not always readily available. They are extremely expensive, and the student may even begin to start the classes much too late to learn the material for an exam such as the SAT adequately. In many instances students and parents alike are not taught much about how important the SAT exam is. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> In Japan standardized testing really drives many important aspects of a student’s future. In the US a student can do poorly on the SAT and still go to a community college and then graduate from a UC and possibly be admitted to a prestigious university afterwards for a Masters or PhD degree.","Because the school system is different in Japan in comparison to the USA, the standardized testing preparation follows that pattern.","Because the school system is different in Japan in comparison to the USA, the standardized testing preparation follows that pattern.","Because the school system is different in Japan in comparison of the USA, the academic testing preparation matches this pattern."
"A Swiss- and Portuguese-educated Angolan émigré of Ovimbundu descent, Savimbi was for a time a member on the FNLA but left the organization in 1964. The Mbundu and Bakongo ethnic groups dominated the MPLA and FNLA leadership, while the largest group, the Ovimbundu, had limited representation. Seeking to create a nationalist movement for his own people, Savimbi formed UNITA, basing his power among the Ovimbundu capital of Huambo. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> After being defeated right after independence UNITA retreated deep into the Angolan bush and built up an army of several thousand men with fanatically loyal officers. Savimbi’s charisma and previous training in China helped him build an effective fighting force that challenged the MPLA for over twenty-five years. However, the fact that UNITA was built around Savimbi meant that after his death the movement disintegrated.","UNITA received aid from the US and South Africa for most of its existence and espoused an anti-communist agenda, though Savimbi had himself been a Marxist at one time.","UNITA received backing from the US and South Africa for most of its existence and carried ' anti-communist agenda, though Savimbi claimed himself been no Marxist at one time.","UNITA received aid from the US and South Africa for most of its existence and espoused an anti-communist agenda, though Savimbi had himself been a Marxist at one time."
"The Mbundu and Bakongo ethnic groups dominated the MPLA and FNLA leadership, while the largest group, the Ovimbundu, had limited representation. Seeking to create a nationalist movement for his own people, Savimbi formed UNITA, basing his power among the Ovimbundu capital of Huambo. UNITA received aid from the US and South Africa for most of its existence and espoused an anti-communist agenda, though Savimbi had himself been a Marxist at one time. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Savimbi’s charisma and previous training in China helped him build an effective fighting force that challenged the MPLA for over twenty-five years. However, the fact that UNITA was built around Savimbi meant that after his death the movement disintegrated. Through the entire course of conflict in Angola from 1961 to 2002, foreign powers were involved in various degrees, from direct military assistance to monetary and diplomatic backing of one or more of the internal movements.","After being defeated right after independence UNITA retreated deep into the Angolan bush and built up an army of several thousand men with fanatically loyal officers.","After being disbanded soon after , he retreated deep into the Angolan bush , built up an army of several thousand men with fanatically loyal officers.","After being defeated right after independence UNITA retreated deep into the Angolan bush and built up an army of several thousand men with fanatically loyal officers."
"In 1997 a coup supported in part by the Angolan government overthrew Mobutu, and Zaire was renamed the Democratic Republic of the Congo. Without the aggressive Mobutu régime as a neighborhood, the situation in Angola stabilized and the MPLA was finally able to crack down on internal dissent without being troubled with foreign intervention, ending the civil war a few years later in 2002. Like most other Third World conflicts of the twentieth century, the wars in Angola were heavily affected by the Cold War. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> The USSR was involved with the MPLA from its foundation in the late-1950s. Starting in 1958, MPLA founding member Mário de Andrade would travel to Moscow on a regular basis for various conferences and meetings. During these visits the MPLA developed a relationship with the Soviets, securing funding and in 1961 the explicit support of Soviet Premier Nikita Khrushchev, who stated that “the patriots of Angola can be sure that the sympathies of the peoples of the great Soviet Union are fully on their side.”","In addition to the competition between the US and the USSR, several other factors motivated the involvement of international powers: the Sino-Soviet split, Third World solidarity against Western exploitation and imperialism, and in the case of the US, Angola’s large oil reserves.","In addition to increasing conflict between the US and the USSR, several other factors motivated the cooperation of international powers: intense Sino-Soviet split, Third reich solidarity against Western imperialism and imperialism, & in the case of the US, Angola’s large oil reserves.","In addition to the competition between the US and the USSR, several other factors motivated the involvement of international powers: the Sino-Soviet split, Third World solidarity against Western exploitation and imperialism, and in the case of the US, Angola’s large oil reserves."
"Reproductive Health funding problems underscore a larger issue with a reliance on NGO services, as can often be seen in IDP situations. The ability to provide services is often reliant on funding from outside sources and its continuation is based not on the needs of those being served, but on what they can find funding to provide. Often an organization's decision to cease operations in a country has more to do with a lack of financial support than the successful completion of their programming. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Many NGOs do not remain in-country for the post-conflict period. In effect, services are provided and once the initial emergency is over, the NGOs are gone and those still displaced must find a health provider somewhere else. This affects a country's capacity to rebuild post-conflict as well as their ability to provide services while the rebuilding effort is underway.","There are certainly other issues with over reliance on NGO services, such as the fact that their services often don't solve the underlying infrastructure issues that will reemerge once the NGO presence is reduced.","There are several other issues with over reliance on NGO services, such as the fact that their services often don't solve the underlying health issues which will reemerge once .","There are certainly other issues with over reliance on NGO services, such as the fact that their services often don't solve the underlying infrastructure issues that will reemerge once the NGO presence is reduced."
